Teams2.yearID,Teams2.teamID,Teams2.W,DivWin,WCWin,LgWin,WSWin,Teams2.attendance
2015,COL,68,0,0,0,0,2506789
2015,DET,74,0,0,0,0,2726048
2015,HOU,86,0,1,0,0,2153585
2015,KCA,95,1,0,1,1,2708549
2015,LAA,85,0,0,0,0,3012765
2015,LAN,92,1,0,0,0,3764815
2015,MIA,71,0,0,0,0,1752235
2015,MIL,68,0,0,0,0,2542558
2015,MIN,83,0,0,0,0,2220054
2015,NYA,87,0,1,0,0,3193795
2015,NYN,90,1,0,1,0,2569753
2015,OAK,68,0,0,0,0,1768175
2015,PHI,63,0,0,0,0,1831080
2015,PIT,98,0,1,0,0,2498596
2015,SDN,74,0,0,0,0,2459742
2015,SEA,76,0,0,0,0,2193581
2015,SFN,84,0,0,0,0,3375882
2015,SLN,100,1,0,0,0,3520889
2015,TBA,80,0,0,0,0,1287054
2015,TEX,88,1,0,0,0,2491875
2015,TOR,93,1,0,0,0,2794891
2015,WAS,83,0,0,0,0,2619843
2016,ARI,69,0,0,0,0,2036216
2016,ATL,68,0,0,0,0,2020914
2016,BAL,89,0,1,0,0,2172344
2016,BOS,93,1,0,0,0,2955434
2016,CHA,78,0,0,0,0,1746293
2016,CHN,103,1,0,1,1,3232420
2016,CIN,68,0,0,0,0,1894085
2016,CLE,94,1,0,1,0,1591667
2016,COL,75,0,0,0,0,2602524
2016,DET,86,0,0,0,0,2493859
2016,HOU,84,0,0,0,0,2306623
2016,KCA,81,0,0,0,0,2557712
2016,LAA,74,0,0,0,0,3016142
2016,LAN,91,1,0,0,0,3703312
2016,MIA,79,0,0,0,0,1712417
2016,MIL,73,0,0,0,0,2314614
2016,MIN,59,0,0,0,0,1963912
2016,NYA,84,0,0,0,0,3063405
2016,NYN,87,0,1,0,0,2789602
2016,OAK,69,0,0,0,0,1521506
2016,PHI,71,0,0,0,0,1915144
2016,PIT,78,0,0,0,0,2249201
2016,SDN,68,0,0,0,0,2351422
2016,SEA,86,0,0,0,0,2267928
2016,SFN,87,0,1,0,0,3365256
2016,SLN,86,0,0,0,0,3444490
2016,TBA,68,0,0,0,0,1286163
2016,TEX,95,1,0,0,0,2710402
2016,TOR,89,0,1,0,0,3392099
2016,WAS,95,1,0,0,0,2481938
2017,ARI,93,0,1,0,0,2134375
2017,ATL,72,0,0,0,0,2505252
2017,BAL,75,0,0,0,0,2028424
2017,BOS,93,1,0,0,0,2917678
2017,CHA,67,0,0,0,0,1629470
2017,CHN,92,1,0,0,0,3199562
2017,CIN,68,0,0,0,0,1836917
2017,CLE,102,1,0,0,0,2048138
2017,COL,87,0,1,0,0,2953650
2017,DET,64,0,0,0,0,2321599
2017,HOU,101,1,0,1,1,2403671
2017,KCA,80,0,0,0,0,2220370
2017,LAA,80,0,0,0,0,3019585
2017,LAN,104,1,0,1,0,3765856
2017,MIA,77,0,0,0,0,1583014
2017,MIL,86,0,0,0,0,2627705
2017,MIN,85,0,1,0,0,2051279
2017,NYA,91,0,1,0,0,3146966
2017,NYN,70,0,0,0,0,2460622
2017,OAK,75,0,0,0,0,1475721
2017,PHI,66,0,0,0,0,1905354
2017,PIT,75,0,0,0,0,1919447
2017,SDN,71,0,0,0,0,2138491
2017,SEA,78,0,0,0,0,2135445
2017,SFN,64,0,0,0,0,3303652
2017,SLN,83,0,0,0,0,3447937
2017,TBA,80,0,0,0,0,1253619
2017,TEX,78,0,0,0,0,2507760
2017,TOR,76,0,0,0,0,3203886
2017,WAS,97,1,0,0,0,2524980
2018,ARI,82,0,0,0,0,2242695
2018,ATL,90,1,0,0,0,2555781
2018,BAL,47,0,0,0,0,1564192
2018,BOS,108,1,0,1,1,2895575
2018,CHA,62,0,0,0,0,1608817
2018,CHN,95,0,1,0,0,3181089
